label,summarydescription
0,add TCK test for Info map of NODE_MOVED event on node reordering
0,"Work around ThreadLocal's ""leak"""
0,random analyzer tests
0,Speed up Top-K sampling tests
0,Make IndexReader.open() always return MSR to simplify (re-)opens.
0,Precedence query parser using the contrib/queryparser framework
0,reorganize xdocs and website
0,Default lock timeouts should have static setter/getters
0,Mark contrib/wikipedia as experimental
0,Change access levels in SearchIndex and NodeIndexer for better inherance
0,Mark Fieldable as allowing some changes in 2.x future releases
0,JSR 283: Configurations and Baselines
0,preflex codec doesn't order terms correctly
0,Clone proxStream lazily in SegmentTermPositions
0,Public Suffix List
0,Add fake charfilter to BaseTokenStreamTestCase to find offsets bugs
0,TCK: SetPropertyValueTest#testCompactValueArrayWithNulls does not respect nodename1 and nodetype configuration properties
0,Make FieldSortedHitQueue public
0,Authentication does not respond to stale nonce
0,Contributed utility for determing content type from file type extension
0,AbstractRepositoryService should be able to handle GuestCredentials
0,filter jcr properties in jcr-server
0,SimpleJbossAccessManager
0,norms file can become unexpectedly enormous
0,cache entry resource management should be extracted from CachingHttpClient
0,Replace commons-logging with jcl-over-slf4j in jackrabbit-webdav
0,sort missing string fields last
0,Upgrade to Lucene 2.2
0,Remove deprecated TokenStream API
0,IndexWriter commits unnecessarily on fresh Directory
0,add new snowball languages
0,Jcr2Spi: configuration entry for size of ItemCache
0,Catch exceptions in Threads created by JUnit tasks
0,NumericField should be stored in binary format in index (matching Solr's format)
0,LargeDocHighlighter - another span highlighter optimized for large documents
0,Make ItemInfoBuilder name space aware
0,No documentation on how to use CookieSpec
0,TCK: SessionReadMethodsTest#testIsLive calls logout() more than once
0,move o.a.l.index.codecs.* -> o.a.l.codecs.*
0,DocId.UUIDDocId should not have a string attr uuid
0,MultithreadedConnectionManager and IdleConnectionTimeoutThread improvements
0,Uploade Lucene 2.1 to ibiblio
0,[PATCH] setIndexInterval() in IndexWriter
0,Remove getSafeJCRPath methods in HierarchyManagerImpl
0,Poor performance race condition in FieldCacheImpl
0,rename KeywordMarkerTokenFilter
0,tck doesn't compile (use of enum keyword)
0,allow ResourceType dav property to have multiple values
0,bad assumptions on QueryResult.getIterator() semantics in QueryResultNodeIteratorTest.testSkip()
0,SPI: prefer 'Iterator' instead of specialized subclasses
0,Queries with too many asterisks causing 100% CPU usage
0,Error from maven when generating the task list
0,porting of ProxyClient from 3.1 to 4.x API
0,Implement getDistance() on DirectSpellChecker.INTERNAL_LEVENSHTEIN
0,Exception root cause is swallowed in various places
0,Similarity.lengthNorm and positionIncrement=0
0,Add IndexReader.acquire() and release() methods using IndexReader's ref counting
0,Support for new Resources model in ant 1.7 in Lucene ant task.
0,Improved XML export handling
0,Review pck names in the others ocm subprojects
0,Random access non RAM resident IndexDocValues (CSF)
0,"Deprecate ""create"" method in FSDirectory.getDirectory in favor of IndexWriter's ""create"""
0,ResourceConfig: read additional parameters for IOHandler and PropertyHandler that are covered by public setters
0,"The servlet-api dependency scope should be ""provided"" in jackrabbit-jcr-server"
0,Move SmartChineseAnalyzer & resources to own contrib project
0,Safe namespace registration
0,Add a waitForMerges() method to IndexWriter
0,CachingHttpClient returns a 503 response when the backend HttpClient produces an IOException
0,warn on invalid set-cookie header
0,Authorization credentials should be sent pre-emptively
0,"need members of MultipartRequestEntity to be ""protected"" instead of ""private"" to make it extendable for multipart/related"
0,Factor maxMergeSize into findMergesForOptimize in LogMergePolicy
0,CMS should default its maxThreadCount to 1 (not 3)
0,o.a.jackrabbit.spi.commons.conversion.NameParser should not assume that namespace URI's are registered
0,Restore top level disjunction performance
0,DocValues cleanup: constructor & getInnerArray()
0,javadoc writing and generation with mvn
0,Add a ton of missing license headers throughout test/demo/contrib
0,Provide access to SSLSession in ManagedClientConnection
0,BundleFsPersistenceManager: remove deprecated settings
0,Support multi-selector OR constraints in join queries
0,Upgrade to latest SLF4J and Logback
0,"ParallelReader is now atomic, rename to ParallelAtomicReader and also add a ParallelCompositeReader (that requires LogDocMergePolicy to have identical subreader structure)"
0,FastVectorHighlighter: add a FragmentBuilder to return entire field contents
0,Avoid using MultiTermDocs
0,all references to incubator need to be replaced with new locations
0,Use a separate JFlex generated Unicode 4 by Java 5 compatible StandardTokenizer
0,Support contains queries with wildcard prefix
0,Calls to SegmentInfos.message should be wrapped w/ infoStream != null checks
0,make frozenbuffereddeletes more efficient for terms
0,LuceneTestCase.afterClass does not print enough information if a temp-test-dir fails to delete
0,Improve Benchmark
0,Improve performance of CharTermAttribute(Impl) and also fully implement Appendable
0,PostMethod - Chunked requests are not supported at the moment.
0,Move common implementations of SPI interfaces to spi-commons module
0,SQL2 parser may infer type for UncastLiteral from static analysis
0,NewAnalyzerTask
0,the unversioned site points to a dead trunk
0,EventImpl should implement toString
0,Lucene Java Site docs
0,Configure Maximum Connection Lifetimes
0,java.util.logging configuration examples does not work as intended
0,Add the new DataSource element to the repository DTD
0,Mark pending nodes in IndexingQueue directly in index
0,"Remove code duplication in MultiReader/DirectoryReader, make everything inside final"
0,Decouple indexer from Document/Field impls
0,Make it posible not to include TF information in index
0,File Formats Documentation is not correct for Term Vectors
0,Lucene 2.0 requirements - Remove all deprecated code
0,Use only one scheduler for repository tasks
0,SimpleSelectionTest assumes RowIterator.getSize() not to return -1
0,SPI: provide batch read functionality
0,Swap URL+Email recognizing StandardTokenizer and UAX29Tokenizer
0,Change default value of SearchIndex extractorPoolSize
0,Remove support for pre-3.0 indexes
0,Reducing buffer sizes for TermDocs.
0,Use the remote-resources-plugin to add LICENSE and NOTICE files to binaries
0,Optimize bundle serialization
0,Typo in message logged upon startup when repository is already in use
0,Change log level for text extractor timeout
0,Add TopDocs.merge to merge multiple TopDocs
0,JavaDoc getConnection methods in Connection Managers
0,Documentation - jackrabbit features beyond the spec
0,Eliminate synchronization contention on initial index reading in TermInfosReader ensureIndexIsRead 
0,BoostingNearQuery must implement clone - now it clones to a NearSpanQuery - cloning is required for Span container classes
0,"Weight.scorer() not passed doc offset for ""sub reader"""
0,WriteLineDocTask improvements
0,TermOrdVal/DocValuesComparator does too much work in compareBottom
0,Split DocMaker into ContentSource and DocMaker
0,support offsets in MemoryPostings
0,Remove deprecated charset support from Greek and Russian analyzers
0,DerbyPersistenceManager only usable for embedded databases
0,BooleanScorer should not limit number of prohibited clauses
0,Simplified Repository URI format for JNDI lookups
0,ShingleFilter improvements
0,Allow servlet filters to specify custom session providers
0,Similarity javadocs look ugly if created with java7's javadoc
0,Backport JCR-1197: Node.restore() may throw InvalidItemStateException
0,Add join query to Lucene
0,JSR 283: Retention & Hold Management
0,UserImporter should use User.changePassword
0,Repository does not start if text filter dependencies are missing
0,Trim whitespace from parameter names in configuration files
0,decorator enhancements
0,Test failure: org.apache.jackrabbit.test.TestAll
0,"Change defaults in IndexWriter to maximize ""out of the box"" performance"
0,Speed up repeated TokenStream init
0,Hardening of NativeFSLock
0,ProxyHost/HttpHost: Checks for null when javadoc document null ok
0,Thread safety and visibility Improvements
0,Drop the Dumpable interface
0,"Support lower and upper case functions in ""order by"" clause"
0,IOContext should be part of the SegmentReader cache key 
0,Make DirectoryTaxonomyWriter's indexWriter member private
0,"Build file for Highlighter contrib works when run in isolation, but not when core dist is run"
0,Fix SnowballAnalyzer casing behavior for Turkish Language
0,"Remove rest of analysis deprecations (Token, CharacterCache)"
0,Some Workspace tests require a second workspace
0,dependencies for route planner implementations
0,"Add next() and skipTo() variants to DocIdSetIterator that return the current doc, instead of boolean"
0,"If tests fail, don't report about unclosed resources"
0,Proxy authentication does not handle multiple multiple authentication schemes
0,"When adding a large (100MB) binary to the DbDataStore, it fails with an insufficient memory exception"
0,Caching client has a class for common headers that was not being used consistently in the code
0,JCR mapping: Upgrade to Maven 2
0,Refactoring of FilteredTermsEnum and MultiTermQuery
0,[PATCH] to store binary fields with compression
0,Resolve JUnit assert deprecations
0,Remove/deprecate Tokenizer's default ctor
0,CartesianTierPlotter fieldPrefix should be configurable
0,Add tests.iter.min to improve controlling tests.iter's behavior
0,contrib/javascript is not packaged into releases
