label,summmarydescription
1,"If there is more than 15 seconds between HttpClient.execute() calls using a MultipartEntity, a ProtocolException is thrown complaining about the Content-Length header already being present."
0,URI.java readObject()/writeObject() must be private
0,Move Function grouping collectors from Solr to grouping module
0,allow an alg file to specify the default codec
0,Remove lib directory from SVN trunk
0,FileDataStore Garbage Collector and empty directories
0,"SpellChecker has no ""close"" method"
1,Inconsistent scoring with SpanTermQuery in BooleanQuery
0,contrib/benchmark tests fail find data dirs
1,Several Codecs use the same files - PerFieldCodecWrapper can not hold two codec using the same files
0,Extend the IndexingConfiguration to allow configuration of reuseable analyzers
0,Support for MaxDB / SapSB Databases
0,add a tokenfilter for icu transforms
1,"Constants.LUCENE_MAIN_VERSION is inlined in code compiled against Lucene JAR, so version detection is incorrect"
0,CMS should default its maxThreadCount to 1 (not 3)
1,Deadlock for some Query objects in the equals method (f.ex. PhraseQuery) in a concurrent environment
0,"New Token filter for adding payloads ""in-stream"""
0,Jcr-Server: Improve implementation of DavResource#getProperty(DavPropertyName)
1,User-Agent string violates RFC
0,Initialize hierarchy cache on startup
1,initVersions crashes with NPE
0,Annotation based implementation of jackrabbit ocm
0,simple webdav server does not support lock timeouts
0,"Add NumericField, make plain text numeric parsers public in FieldCache, move trie parsers to FieldCache"
0,Timeout for Session and/or Lock
0,Cookie class cannot handle IPv6 literals
1,Highlight fragment does not extend to maxDocCharsToAnalyze
1,DisjunctionMaxScorer.skipTo has bug that keeps it from skipping
0,MultiFieldQueryParser field boost multiplier
1,MsExcelTextFilter throws Exception. Repository is not startable
1,HostConfiguration socketFactory is ignored
0,JCR taglib
0,MultiFields not thread safe
0,Make PKIndexSplitter and MultiPassIndexSplitter work per segment
0,cache module should strip 'Content-Encoding: identity' from responses
0,shouldn't throw exception on bad cookies
1,NodeTypeDefinitionFactory does not set PropertyDefinition#isQueryOrderable
1,Incorrect check for replace when importing item with colliding id
1,ERROR 40XD0: Container has been closed exception with Derby DB
1,RepositoryException when using BindVariables in JCR-SQL2 CONTAINS
1,Moving a node while index is merged leads to inconsistent index
1,XPath query with child axis predicates
1,DefaultHttpParamsFactory violates applet sandbox
0,Add configuration options for search manager
1,JCARepositoryManager does not close InputStream
1,checkIfNodeLocked()  in jcr mapping layer  does not behave properly when open scoped locks are used
0,add ElisionsFilter to ItalianAnalyzer
0,Add subset method to BitVector
0,Add contrib/fast-vector-highlighter to Maven central repo
0,Updates to connectionStaleCheckingEnabled docs.
0,Leftover legacy enum in IndexReader
0,Use configured credentials in RepositoryFactoryImplTest 
0,wrong assumptions in test cases about lock tokens
0,TokenStream/Tokenizer/TokenFilter/Token javadoc improvements
0,CachingMultiReader has inconsistent name
0,Exclude the netcdf dependency
0,add test case for recovering from broken version history hierarchy
0,Add join query to Lucene
0,Cleanup use of EncodingUtil and HttpConstants
0,need a way to set request body in PostMethod
0,Incorporate GeoHash in contrib/spatial
0,Improve excerpt fragments
1,"LLRect.createBox returned box does not contains all points in (center,distance) disc"
0,Remove verbosity from tests and make configureable
0,JcrUtils.getRepository(...) for simple repository access
0,SerializationTest and AbstractImportXmlTest leak temporary files
1,Impossible to import a string containing _x0020_  with Session.importXml
1,Item.isNew() does not work correctly within a transaction
0,Some house cleaning in addIndexes*
0,Add support for custom ExecutorServices in ParallelMultiSearcher
0,Performance tuning
0,Resource association not compliant to JTA spec
1,ItemStateException on concurrently committing transactions of versioning operations
0,TestBasicCookieAttribHandlers fails on non-english Locale systems
1,trunk:  TestDocumentsWriterDeleteQueue.testStressDeleteQueue seed failure
1,MaxCount not working correctly in user/group query when restricting to group members
1,"If index has more than Integer.MAX_VALUE terms, seeking can it AIOOBE due to long/int overflow"
0,no classes with default visibility
0,Reintroduce NamespaceStorage
0,TCK: RestoreTest.testRestoreLabel
0,"When adding a large (100MB) binary to the DbDataStore, it fails with an insufficient memory exception"
0,Contrib: Main memory based SynonymMap and SynonymTokenFilter
0,Avoidable synchronization bottleneck in MatchAlldocsQuery$MatchAllScorer
0,Remove deprecated SpanQuery.getTerms() and generify Query.extractTerms(Set<Term>)
1,Combination of BooleanQuery and PhrasePrefixQuery can provoke UnsupportedOperationException
0,Upgrade to easymock 2.5.2
0,"Fix FuzzyQuery's defaults, so its fast."
0,Review and potentially remove unused/unsupported Contribs
1,RowIterator view of result for query '//*' only returns jcr:path column
0,'ant generate-maven-artifacts' should work for lucene+solr 3.x+
0,Lucene benchmark: objective performance test for Lucene
0,remove RoutedRequest from API
0,"Add link to ""Benchmarking the HttpClient Caching Module"" article from Comcast Interactive Media"
1,[PATCH] Problem with Sort logic on tokenized fields
1,MatchAllDocsQueryNode toString() creates invalid XML-Tag
1,RegexCapabilities is not Serializable
0,Several final classes have non-overriding protected members
0,Generify FST shortestPaths() to take a comparator
0,Minor improvement to JavaDoc for ScoreDocComparator
0,TestBackwardsCompatibility needs terms with U+E000 to U+FFFF
0,[API Doc] Document exceptions thrown on execute methods
1,"GetMethod.java checks the ""used"" flag which cannot be set at this time"
0,Use FileLock for locking instead of empty file
0,"Remove ""System Properties"" page from release specific docs"
0,make NamespaceContext#getPrefix(java.lang.String) iterative instead of recursive
0,registerNodeType is not implemented in the CLI
1,ObjectContentManagerImpl.getObject(Query) throws NoSuchElementException when query does not match an object
1,reopen on NRT reader should share readers w/ unchanged segments
1,Incorrect CND for mix:etag
1,jcr2spi: NPE with SessionImporter#checkIncludesMixReferenceable if NodeInfo doesn't contain mixin names
0,move SmartChineseAnalyzer into the smartcn package
1,Catch SocketTimeoutException not InterruptedIOException
0,Spellchecker should implement java.io.Closable
0,Initialization error of Junit tests with solr-test-framework with IDEs and Maven
1,Adding empty ParallelReader indexes to an IndexWriter may cause ArrayIndexOutOfBoundsException or NoSuchElementException
1,inconsistent session state after Item/Session.save() throwing ReferentialIntegrityException
0,Move jackrabbit/trunk/contrib to jackrabbit/sandbox
0,Provide a non-pooling connection manager
1,Unable to delete a non session-scoped locked node in XA Environment
1,"minimizeHopcroft OOMEs on smallish (2096 states, finite) automaton"
1,offsets issues with multiword synonyms
0,left nav of docs/index.html in dist artifacts links to hudson for javadocs
1,DefaultPrincipalProvider#collectGroupMembership puts wrong principal instance into the cache
0,"Node.setProperty(String, ...) implementation not according to the specification"
1,Upgrade to commons-compress 1.2
0,switch appendingcodec to use appending blocktree
0,Upgrade to Derby 10.2
0,SPI implementations currently need to provide implementations of both ValueFactory and QValueFactory
0,web.xml refers to 2.2 dtd
1,Issues with compiled permissions of ACL provider
1,XMLPersistenceManager trims string property values
0,Better MimeType Handling
0,Maven artifacts for Lucene 4 are not stored in the correct path
1,Ordering of methods in PostMethod changes behaviour
1,NRTCachingDir has invalid asserts (if same file name is written twice)
0,contrib/benchmark QueryMaker and Task Refactorings
0,Track total term freq per term
1,"When HttpClient-Cache cannot open cache file, should act like miss"
0,Add Boosting Function Term Query and Some Payload Query refactorings
0,NodeStateMerger.merge should abort if the primary type of the 2 states to be compare are not the same
1,FieldCache should not pay attention to deleted docs when creating entries
1,SO_TIMEOUT parameter on the method level has no effect
0,Lock test assumes that changes in one session are immediately visible in different session
0,AttributeSource/TokenStream API improvements
1,StackOverflowError in HttpConnection
0,Allow (or bring back) the ability to setRAMBufferSizeMB on an open IndexWriter
0,o.a.l.messages should be moved to core
0,XMLIndexFilter should index the attributes
0,"CLONE -QueryParser is not applicable for the arguments (String, String, Analyzer) error in results.jsp when executing search in the browser (demo from Lucene 2.0)"
1,"[PATCH] TermInfosReader, SegmentTermEnum Out Of Memory Exception"
1,MultiFieldQueryParser ignores slop parameter
0,add LuceneTestCase.rarely()/LuceneTestCase.atLeast()
0,JCR2SPI: add JNDI support
0,JSR 283 Observation
1,Node.orderBefore does not check permissions
0,Regex support and beyond in JavaCC QueryParser
1,Event filtering by path not working as specified
0,Field specified norms in MatchAllDocumentsScorer 
0,Can't specify AttributeSource for Tokenizer
0,org.apache.jackrabbit.server.SessionProvider needs 'releaseSession()'
1,Flexible QueryParser fails with local different from en_US
1,LogSource.setLevel incorrectly uses entrySet
0,Simplify NRTManager
0,Provide limit on phrase analysis in FastVectorHighlighter
0,Response handlers
0,Download: improve user experience
0,singletermsenum
1,add checks/asserts if you search across a closed reader
0,Remove geronimo JTA as a runtime dependency
0,Make prefixLength accessible to PrefixTermEnum subclasses
0,org.apache.http.impl.client.cache.memcached.MemcachedHttpCacheStorage should allow client to specify custom prefix string for keys
1,Creating QValue from stream: stream not closed
1,"In modules/analysys/icu, ant gennorm2 does not work"
1,302 response without location header throws exception
0,JFlex-based HTMLStripCharFilter replacement
1,InternalVersionManagerBase; missing null check after getNode()
1,DavMethodBase#getResponseException fails if the body is not (valid) XML
0,Add configurable hook for password validation
1,Missing equals and hashcode preventing the re-use of SharedFieldSortComparator
0,ShingleFilter benchmark
0,Make it easier to run Test2BTerms
1,TestIndexFileDeleter checkIndex fail
0,[PATCH] Some Field methods use Classcast check instead of instanceof which is slow
0,Similarity javadocs look ugly if created with java7's javadoc
1,Missing XPath escape in query.jsp
1,Versioning fixup leaves persistence in a state where the node can't be made versionable again
1,moving locked node removes locked state
1,Provider org.apache.xalan.processor.TransformerFactoryImpl not found
1,Sorting produces duplicates
0,add ability to not count sub-task doLogic increment to contri/benchmark
1,MultiPhraseQuery throws AIOOBE
1,FieldInfo omitTerms bug
0,InternalVersion.getFrozenNode confused about root version?
0,javadocs creation has too many warnings/errors
0,more performance improvements for snowball
0,NetscapeDraftSpec is too strict about cookie expires date format
0,increase default maxFieldLength?
0,broken link to the release notes
0,move contrib/benchmark to modules/benchmark
0,Multiple DIGEST authentication attempts with same credentials
0,RepositoryStub implementation in jackrabbit-core
1,"When creating multiple repository instances pointing to the same home, opening a second session will remove the .lock file"
0,Avoid String.intern() when indexing
0,Need setURI() methods in HttpMethod interface
1,Bad check for sv:name attribute presence in system view import
0,Fix charset problems in XML loading in HyphenationCompoundWordTokenFilter (also Solr's loader from schema)
0,Support for embedded index aggregates
0,Use out-of-process text extraction
0,msoffice text extractor for office 2007 files
0,Make DocumentsWriter more robust on hitting OOM
1,Request with two forward slashes for path fails
0,Add reflection API to AttributeSource/AttributeImpl
1,"Sloppy Phrase Scorer matches the doc ""A B C D E"" for query = ""B C B""~2"
0,Omit default BatchReadConfig in Spi2davexRepositoryServiceFactory
1,I/O exception in DocsWriter add or updateDocument may not delete unreferenced files
1,Explicit VirtualHosts Can Cause Issues On Redirects
0,Implement Query.getBindVariableNames()
0,In J2SDK 1.5.0 (Tiger) enum is a keyword
1,OCM: translate-project goal not found
1,"on disk full during close, FSIndexOutput fails to close descriptor"
0,DelimitedPayloadTokenFilter copies the bufer over itsself. Instead it should only set the length. Also optimize logic.
