label,summmarydescription
0,"Fix PayloadProcessorProvider to no longer use Directory for lookup, instead AtomicReader"
0,Text extraction may congest thread pool in the repository
0,Add SimpleText codec
0,Separate SegmentReaders (and other atomic readers) from composite IndexReaders
0,Indexing performance tests with realtime branch
0,Reduce memory usage of transient nodes
0,Redesign SPI observation
1,"UserManagement: IndexNodeResolver.findNodes(..... , nonExact) fails to find values containing backslash"
0,remove IndexSearcher.close
0,Query Stats should use the TimeSeries mechanism
0,Highlighter Documentation updates
1,"DatabaseJournal.checkSchema generates ""Cannot call commit when autocommit=true"" Exception"
0,Confusing Javadoc in Searchable.java
1,'100-continue' response times out unexpectedly
0,Remove deprecated methods in PriorityQueue
0,[PATCH] Avoid checking for TermBuffer in SegmentTermEnum#scanTo
0,ItemImpl#validateTransientItems: Incomplete validation of mandatory child item
1,Node's childNodes out of sync after unsuccessful save()
1,Jackrabbit fails to shutdown properly when tomcat is shutting down
0,Best effort merge if concurrent modifications include changes to mixin types
0,[PATCH] Make a getter for SortField[] fields in org.apache.lucene.search.Sort
0,Disable Users
1,JNDI data sources with various PersistenceManager: wrong default values
1,New BufferedIndexOutput optimization fails to update bufferStart
1,search.jsp doesn't handle utf-8 parameters correctly
0,Add support for distributed stats
1,"SSL verification occurs before setSoTimeout, which can lead to hangs"
0,OCM test are too verbose
1,UserManager.getAuthorizable() may fail with InvalidQueryException
0,Add basic I/O counters to query handler
1,Read permission on parent node required to access an item's definition
1,Importer drops jcr:xmlcharacters fields after a large jcr:xmlcharacters entry
1,UUID compareTo and hashCode
0,Review the use of BaiscHttpParams and HttpProtocolProcessor in HttpClient
0,NamespaceRegistryTest.testRegisterNamespace test assumptions
1,jcr2spi spi2dav getProperties returns only cached properties
0,Proxy tunneling/auth with CONNECT for non-HTTP protocols
1,TestIndexWriterExceptions random failure: AIOOBE in ByteBlockPool.allocSlice
0,Fix CommitIndexTask to also commit IndexReader changes
0,substitute for URLUtils.java
1,ItemStateMap warnings during node type changes
0,BundleDumper to analyze broken bundles
0,Checks for optional features in test cases are wrong
0,Improve logging of Session.save() to trace back root cause of externally modified nodes
1,Exception shouldn't be thrown for unsupported authentication method
0,Move listeners from item state to item state managers
0,Rename IOUtils.close methods
0,Exception may get lost in WorkspaceManager.OperationVisitorImpl.execute()
0,nuke IndexSearcher(directory)
1,ArrayIndexOutOfBoundsException: ConcurrentCache
1,DBFileSystem MySQL DDL not compatible with pre-5.0 versions
1,adding docs with large (binary) fields of 5mb causes OOM regardless of heap size
0,add numDocs() and maxDoc() methods to IndexWriter; deprecate docCount()
1,ConcurrentModificationException in WebDAV UPDATE
0,Add getVersion method to IndexCommit
0,Add deleteAllDocuments() method to IndexWriter
0,Rename package names
1,Jcr-server: Parsing NodeTypeProperty not compliant with definition
0,SQL2 joins on empty sets are not efficient
0,Allow separate control over whether body is stored or analyzed
0,[PATCH] add term index interval accessors
0,"If test has methods with @Ignore, we should print out a notice"
0,Add a LATENT FieldSelectorResult
1,Exception executing SQL2/JQOM with non-admin session
1,"after enabling access manager, I can't createNode and setProperty without a node.save in the middle"
0,Make getAttribute(Class attClass) Generic
0,MANIFEST.MF cleanup (main jar and luci customizations)
1,NullPointerException in ClassDescriptor
1,Identifier paths for inexistent items throw exception
1,FastVectorHighlighter: small fragCharSize can cause StringIndexOutOfBoundsException 
1,InstantiatedTermEnum#skipTo(Term) throws ArrayIndexOutOfBoundsException on empty index
0,request.abort() should interrupt thread waiting for a connection
0,Expose namespace registry via workspace instead via session in spi2jcr
0,EasySimilarity to interpret document length as float
0,Java 1.4 compile error in Eclipse
1,SegmentMerger doesn't set payload bit in new optimized code
0,"Handle virtual hosts, relative urls, multi-homing"
1,"Cookie.java blowing up on cookies from ""country code"" domains"
0,DbClusterTest failure due to network configuration
0,Jcr-Server: missing-auth-mapping init parameter should have option for GuestCredential login
1,"setProperty(""name"", new Value[0], PropertyType.LONG) loses property type"
0,Allow benchmark tasks from alternative packages
0,Stack traces from failed tests are messed up on ANT 1.7.x
0,Remove unnecessary TestAll classes in jcr-commons
0,FIXME in src/test/org/apache/lucene/IndexTest.java
0,Allow setting arbitrary objects on PerfRunData
0,Some small javadocs/extra import fixes
0,Jcr2spiRepositoryFactory: make class loading more robust
0,Workspace{Copy|Move}VersionableTest assumptions on versioning
