label,summarydescription
0,DateUtils should cache SimpleDateFormat
0,Reset zzBuffer in StandardTokenizerImpl* when lexer is reset.
0,Use Apache Tika for text extraction
0,Let users set Similarity for MoreLikeThis
0,replace collation/lib/icu4j.jar with a smaller icu jar
0,TermOrdVal/DocValuesComparator does too much work in compareBottom
0,Use ConcurrentHashMap instead of HashMap wherever thread-safe access is needed
0,Improve NodeTypeRegistry.effectiveNodeType()
0,"JCRTest.java (First Steps example code) creates a StringValue with ""new"""
0,Upgrade to Logback 1.0
0,Database Data Store
0,Backport JCR-1111: Access to version history results in reading all versions of versionable node
0,Rename IndexReader.reopen to make it clear that reopen may not happen
0,Allow PackedInts.ReaderIterator to advance more than one value
0,Encapsulate RepositoryHelper field
0,deprecate term and getTerm in MultiTermQuery
0,Optimize copies between IndexInput and Output
0,package org.apache.xml.utils does not exist (JDK 1.5.0)
0,MANIFEST.MF cleanup (main jar and luci customizations)
0,Introduce daily integration test suite
0,bug form doesn't list latest version
0,Move & copy objects
0,NumericField should be stored in binary format in index (matching Solr's format)
0,Text.escapeIllegalJCRChars should be adjusted to match the 2.0 set of illegal chars
0,Index sorter
0,New node type namespaces should be automatically registered
0,More Fine grained Permission Flags
0,Jcr-Server: Usage of Cache-Control header
0,Spellchecker doesn't need to store ngrams
0,clean up obselete information on the website
0,cache entry resource management should be extracted from CachingHttpClient
0,Provide more options for OCM CRUD API Writers to enhance the functionality
0,UUID generation: SecureRandom should be used by default
0,More utility methods in JcrUtils
0,Improved XML export handling
0,need to add a default constructor for Cookie
0,[PATCH] reduce duplicate conversions from OffsetCharSequence to (lower/upper) strings
0,Add WaitForMergesTask
0,Wrong trailing index calculation in PatternReplaceCharFilter
0,improve BaseTokenStreamTestCase to test end()
0,allow cache to be configured as a non-shared (private) cache
0,Re-index fails on corrupt bundle
0,allow tests to use different Directory impls
0,PropertyTypeRegistry should also yield if property is multi-valued
0,Behavior on hard power shutdown
0,Create OSGi Bundle Manifest Headers
0,Improve password hashing
0,Optimization for FieldDocSortedHitQueue
0,RTFTextExtractor should also support mime type text/rtf
0,upgrade contrib/ant's tidy.jar
0,Wrong method signatures in AbstractHttpClient
0,TestIndexWriter failes for SimpleTextCodec
0,Refactor Searchable to not have RMI Remote dependency
0,FastVectorHighlighter: add a FragmentBuilder to return entire field contents
0,Allow means force a Repository to synchronize with the cluster
0,TCK: SessionReadMethodsTest#testIsLive calls logout() more than once
0,Default merge policy should take deletions into account
0,Referenced derby library behaves buggy on FreeBSD
0,NodeEntryImpl.getWorkspaceId() very inefficient 
0,Revert subsequent token-node updates (tentatively introduced)
0,TCK: RestoreTest.testRestoreLabel
0,Allow storing user data when IndexWriter.commit() is called
