label,summarydescription
0,Provide general HTTP date parsing
0,Remove timeout handling from TransactionContext
0,Add m2e lifecycle mappings for Eclipse Indigo
0,Let users set Similarity for MoreLikeThis
0,replace collation/lib/icu4j.jar with a smaller icu jar
0,Suggestion regarding NodeImpl and PropertyImpl in jackrabbit.core
0,Use ConcurrentHashMap instead of HashMap wherever thread-safe access is needed
0,Improve NodeTypeRegistry.effectiveNodeType()
0,"JCRTest.java (First Steps example code) creates a StringValue with ""new"""
0,Contribution: Efficient Sorting of DateField/DateTools Encoded Timestamp Long Values
0,Replace BundleFsPersistenceManager with DerbyPersistenceManager in the JR Core indexing tests
0,Backport JCR-1111: Access to version history results in reading all versions of versionable node
0,make it possible to use searchermanager with distributed stats
0,Enable setting the terms index divisor used by IndexWriter whenever it opens internal readers
0,More javadocs for Weight
0,JSR 283: Node Type Attribute Subtyping Rules 
0,Chunked transfer encoding not isolated from application.
0,Jackrabbit web page scroll is slow with Firefox
0,Hudson build doesn't detect Java 5 class references
0,Introduce daily integration test suite
0,bug form doesn't list latest version
0,surround test code is incompatible with *Test pattern in test target.
0,"Replacement for TermAttribute+Impl with extended capabilities (byte[] support, CharSequence, Appendable)"
0,Text.escapeIllegalJCRChars should be adjusted to match the 2.0 set of illegal chars
0,Index sorter
0,Optimize bundle serialization
0,Demo and contrib jars should contain NOTICE.TXT and LICENSE.TXT
0,reusing connections is unreliable
0,Further steps towards flexible indexing
0,uploading large streams through rmi
0,improve performance of contrib/TestCompoundWordTokenFilter
0,Replace SegmentReader.Ref with AtomicInteger
0,Add Japanese filter to replace term attribute with readings
0,Provide access to cluster records
0,Document is partially indexed on an unhandled exception
0,Implement getDistance() on DirectSpellChecker.INTERNAL_LEVENSHTEIN
0,[PATCH] reduce duplicate conversions from OffsetCharSequence to (lower/upper) strings
0,Deprecate BLOBStore (use the DataStore instead)
0,[PATCH] Remove Stutter in ItemValidator
0,Hardening of NativeFSLock
0,[PATCH] TermVectorReader and TermVectorWriter
0,Re-index fails on corrupt bundle
0,Change contrib QP API that uses CharSequence as string identifier
0,PropertyTypeRegistry should also yield if property is multi-valued
0,Proxy authentication does not handle multiple multiple authentication schemes
0,WriteLineDocTask improvements
0,Improve password hashing
0,Optimization for FieldDocSortedHitQueue
0,Change project names to start with jackrabbit
0,make frozenbuffereddeletes more efficient for terms
0,Allow setting arbitrary objects on PerfRunData
0,Enable bzip compression in benchmark
0,Refactor Searchable to not have RMI Remote dependency
0,Single-pass grouping collector based on doc blocks
0,Allow means force a Repository to synchronize with the cluster
0,Make IndexReader.open() always return MSR to simplify (re-)opens.
0,configurable MultiTermQuery TopTermsScoringBooleanRewrite pq size
0,"Clicking on the ""More Results"" link in luceneweb.war demo results in ArrayIndexOutOfBoundsException"
0,Implement caching mechanism for ItemInfo batches
0,Revert subsequent token-node updates (tentatively introduced)
0,java.lang.Iterable support for RangeIterators
0,Remove shared doc stores
0,non-recursive MultiTermDocs
0,Remove unused LuceneQueryBuilder.createQuery() method
0,Improve automaton's MinimizeOperations.minimizeHopcroft() to not create so many objects
0,Speedup Startup
0,Reduce calls to RepositoryService.getRepositoryDescriptors()
0, The jackrabbit-ocm DTD 1.5 is missing and has to be publish
0,Contributing a High-performance single-document main memory Apache Lucene fulltext search index.
0,Cookie rejected
0,"JCR Test for Adding Node Type Tests That Abstract Nodes Can Be Added as Children, contrary to JCR 2.0 specification"
0,TermVectorMapper.setDocumentNumber()
0,Provide access to port of Host header
0,Update site level documentation
0,"don't download/extract 20,000 files when doing the build"
0,Extract the public API interfaces from o.a.j.core to o.a.j.api
0,Improve reading of cached UUID for given document number
0,Various inner classes maintain references to owning class for no reason
0,Improve jcr decorator in jcr-ext
0,Caching client has a class for common headers that was not being used consistently in the code
0,QDefinitionBuilderFactory should auto-subtype from nt:base
0,Add tests.iter.min to improve controlling tests.iter's behavior
0,[CONTRIB] SSL authenticating protocol socket factory
0,BundleFsPersistenceManager: remove deprecated settings
0,Rename GenericRepositoryFactory to JndiRepositoryFactory
0,Upgrade to latest SLF4J and Logback
0,RAMInputStream and RAMOutputStream without further buffering
0,Remove some synchronization on CachingNamespaceResolver
0,Polish Analyzer
0,rename KeywordMarkerTokenFilter
0,Add a filter returning all document without a value in a field
0,NamespaceRegistryTest uses an invalid URI as namespace URI
0,Automatic license header checking using the Apache Rat Plugin
0,"[PATCH] ant-task ""javadocs-all"" fails with OutOfMemoryError"
0,full text search tests use incorrect character for escaping phrases
0,"ResponseContentEncoding should also handle x-gzip, compress and x-compress"
0,Merge CharTermAttribute and deprecations to stable
0,Make DefaultSecurityManager the default security manager (instead of SimpleSecurityManager)
0,Terms dict should block-encode terms
0,Contrib/Jcr-Server: Improve package structure
0,Support SortedSource in MultiDocValues
0,LuceneTestCase.afterClass does not print enough information if a temp-test-dir fails to delete
0,openReaderPassed not populated in CheckIndex.Status.SegmentInfoStatus
0,Use NIO positional read to avoid synchronization in FSIndexInput
0,Windows specific implementation of the Digest auth scheme
0,standard codec's terms dict seek should only scan if new term is in same index block
0,Index nodes in parallel
0,Make cache limits configurable
0,Can not subscribe
0,Add UserManager#getAuthorizableByPath(String) for symmetry with JCR-3037
0,Expose FilteredTermsEnum from MTQ 
0,David Spencer Spell Checker improved
0,Make WeightedSpanTermExtractor extensible to handle custom query implemenations
0,wrong class name in statemgmt.xml
0,CharArraySet.clear()
0,Releasing a connection is unconfirmed
0,wrong exception from NativeFSLockFactory (LIA2 test case)
0,ORM PersistenceManagers don't compile
0,FastVectorHighlighter: add a FragmentBuilder to return entire field contents
0,Change default value of SearchIndex extractorPoolSize
0,Replace commons-logging with jcl-over-slf4j in jackrabbit-webdav
0,Misleading exception message for jcr:deref()
0,"Implement ""ignoreCookies"" CookieSpec"
0,Optimize queries that check for the existence of a property
0,Jcr2Spi: configuration entry for size of ItemCache
0,TestFieldsReader - TestLazyPerformance problems w/ permissions in temp dir in multiuser environment
0,Optimize PhraseQuery
0,"Change defaults in IndexWriter to maximize ""out of the box"" performance"
0,ShingleFilter improvements
0,Session leak in API test cases
0,A Linux-specific Directory impl that bypasses the buffer cache
0,concurrent read-only access to a session
0,Support for OpenOffice text extraction
0,WriteLineDocTask should write gzip/bzip2/txt according to the extension of specified output file name
0,spi2davex NodeInfoImpl should use HashSet instead of ArrayList for childInfos
0,SimpleJbossAccessManager
0,Make it possible to get multiple nodes in one call via davex
0,Upgrade to Tika 0.10
0,DescendantSelfAxisQuery creates too many object instances
0,Allow servlet filters to specify custom session providers
0,Invalid redirects are not corrected
0,Backport JCR-1197: Node.restore() may throw InvalidItemStateException
0,Change default value for maxMergeDocs
0,Drop Maven 1 compatibility
0,UserImporter should use User.changePassword
0,HyphenationCompoundWordTokenFilter fails to load DTD in Crimson parser (JDK 1.4)
0,Deprecate IndexModifier
0,add ASCIIFoldingFilter and deprecate ISOLatin1AccentFilter
0,Test failure: org.apache.jackrabbit.test.TestAll
0,upgrade contrib/ant's tidy.jar
0,Allow basic regexp in namespace prefix of index-rule
0,Calls to SegmentInfos.message should be wrapped w/ infoStream != null checks
0,"Consolidate CustomScoreQuery, ValueSourceQuery and BoostedQuery "
0,No documentation on how to use CookieSpec
0,Jackrabbit utilities
0,Codec is not consistently passed in internal API
0,Extract JDBC Connection Init
0,junit dependency in pom.xml with default compile scope
0,EventFilterImpl should implement toString
0,Performance improvement in OpenBitSetDISI.inPlaceAnd()
0,JSR 283: Built-In Node Types
0,warn on invalid set-cookie header
0,bad java practices which affect performance (result of code inspection)
0,Optimize the core tokenizers/analyzers & deprecate Token.termText
0,Make QValueFactoryImpl extensible
0,[OCM] rename o.a.j.ocm.persistence.PersistenceManager to avoid confusion with core component
0,Determination of property state difference should skip binary values
0,waitForResponse is using busy wait
0,Only load root node definition when required
0,Term improvement
0,GetReferencesNodeTest test assumptions
0,Move & copy objects
0,Remove/deprecate Tokenizer's default ctor
0,SPI: prefer 'Iterator' instead of specialized subclasses
0,IndexWriter should detect when it's used after being closed
0,Things to be done now that Filter is independent from BitSet
0,[PATCH] fixes for gcj target.
0,Build SegmentCodecs incrementally for consistent codecIDs during indexing
0,Add method getID to interface ItemInfo
0,Tests fail with NoClassDefFoundError: org/w3c/dom/ranges/DocumentRange
0,Spatial Filters not Serializable
0,QueryWrapperFilter should not do scoring
0,intermittent failures of  TestTimeLimitedCollector.testTimeoutMultiThreaded in nightly tests
0,DefaultItemStateProvider contains grow-only cache
0,Unable to get the status line from a http method object
0,No support for Oracle schemas
0,Add VERBOSE to LuceneTestCase and LuceneTestCaseJ4
0,[PATCH] new method: Document.remove()
0,Add deleteAllDocuments() method to IndexWriter
0,Clone proxStream lazily in SegmentTermPositions
0,"Fix wrong clover analysis because of backwards-tests, upgrade clover to 2.6.3 or better"
0,Introduce cache for frequently used index lookups
0,"Deprecation of autoCommit in 2.4 leads to compile problems, when autoCommit should be false"
0,Enhance SnapshotDeletionPolicy to allow taking multiple snapshots
0,Change log level for text extractor timeout
0,Further parallelizaton of ParallelMultiSearcher
0,Mark pending nodes in IndexingQueue directly in index
0,Similarity#score deprecated method - javadoc reference + SimilarityDelegator
0,[PATCH] demo HTML parser corrupts foreign characters
0,Utility class to tranform JCR-SQL2 to/from JCR-JQOM
0,HttpClient depends on jcip-annotations.jar
0,Improve Javadoc
0,tweak AppendingCodec to write segments_N compatible with 'normal' Lucene
0,Promote ItemInfo builder classes from GetItemsTest to top level classes
0,benchmark for collation
0,IndexWriter does not properly account for the RAM consumed by pending deletes
0,Add signature and major/minor version to the journal files used for clustering
0,Build failed in the flexscoring branch because of Javadoc warnings
0,cache should not generate stale responses to requests explicitly requesting first-hand or fresh ones
0,Introduce a temprary cache for intermediate query results
0,integrate snowball stopword lists
0,[HttpClient] Authenticator() - ability to perform alternate authentication
0,Performance improvement for TermInfosReader
0,Authentication does not respond to stale nonce
0,simple improvements to tests
0,JSR 283: Access Property/Node from Session
0,Refactor ObservationManagerFactory
0,Better name and path factory exception messages
0,codec postings api (finishDoc) is inconsistent
0,Node Type Management subproject : Default namespace should be emtpy
0,Spellchecker doesn't need to store ngrams
0,Standardize on a common mocking framework (either EasyMock or Mockito)
0,TokenFilter should implement reset()
0,[PATCH] don't delete all files in index directory on index creation
0,OpenBitSet.prevSetBit()
0,Provide Programmatic Access to CheckIndex
0,DerbyPersistenceManager only usable for embedded databases
0,use isBinary cached variable instead of instanceof in Field
0,Remove getSafeJCRPath methods in HierarchyManagerImpl
0,Upload Lucene 2.0 artifacts in the Maven 1 repository
0,Add relative path parameter to rep:excerpt()
0,Split DocMaker into ContentSource and DocMaker
0,Allow to pass an instance of RateLimiter to FSDirectory allowing to rate limit merge IO across several directories / instances
0,Let NameException extend RepositoryException
0,contrib/benchmark - few improvements and a bug fix
0,"Add System.getProperty(""tempDir"") as final static to LuceneTestCase(J4)"
0,BooleanScorer should not limit number of prohibited clauses
0,contrib/remote tests fail randomly
0,Authorizable#getProperty and #setProperty should deal with relativePath 
0,Correct copy-paste victim Comment
0,JE Directory Implementation
0,toplevel exception cleanup
0,Cut Norms over to DocValues
0,CompactNodeTypeReader fails to explain why valid JCR names cause errors
0,"Handle virtual hosts, relative urls, multi-homing"
0,[PATCH] small fixes to the new scoring.html doc
0,More Fine grained Permission Flags
0,IndexWriter commits unnecessarily on fresh Directory
0,Highlighter should try and use maxDocCharsToAnalyze in WeightedSpanTermExtractor when adding a new field to MemoryIndex as well as when using CachingTokenStream
0,Remove/Uncommit SegmentingTokenizerBase
0,"Add FieldCache.getTermBytes, to load term data as byte[]"
0,Provide possibility to import protected items using Session import functionality
0,Improvement to MultiValueCollectionConverterImpl to Map collections with element class Object.class
0,Provide access to SSLSession in ManagedClientConnection
0,Caching in QueryHandler does not scale well
0,Remove HitCollector
0,TCK: PredefinedNodeTypeTest does not allow additions to the predefined node types hierarchy
0,"improve termquery ""pk lookup"" performance"
0,Move SmartChineseAnalyzer & resources to own contrib project
0,move route computation from client to director
0,Split PrivilegeRegistry in a per-session manager instance and a repository level registry
0,Flex on non-flex emulation of TermsEnum incorrectly seeks/nexts beyond current field
0,"In AbstractImportXmlTest, a bug in getUnusedUri() causes URI length to grow too quickly, causing test to fail when using ORM-PM"
0,Implement StandardTokenizer with the UAX#29 Standard
0,introduce QValue.getCalendar()
0,Make MMapDirectory.MAX_BBUF user configureable to support chunking the index files in smaller parts
0,Make ItemInfoBuilder name space aware
0,Add fake charfilter to BaseTokenStreamTestCase to find offsets bugs
0,Collapse Common module into Lucene core util
0,auto close idle connections
0,Basic tool for checking & repairing an index
0,Transaction-safe versioning
0,Improvement to UndefinedTypeConverterImpl to map super types effectively
0,PhraseQuery/TermQuery/SpanQuery use IndexReader specific stats in their explains
0,Introduce 'SecurityConfig' for better extensability.
0,Allow CFS be empty
0,Add SimpleText codec
0,orm-persistence package doesn't compile against cvs head.
0,Inefficient growth of OpenBitSet
0,support offsets in MemoryPostings
0,Replace license headers with new policy text
0,Make CachingTokenFilter faster
0,Jcr-Server Module: Remove Dependency from Jackrabbit-Core
0,Check for boundary conditions in FieldInfos
0,HttpClient javadocs need improving
0,TSCCM code cleanup
0,Handling sub-domain cookies.
